0.71,-0.669,2.919,1.38,-1.179,-0.282,-2.756,1.787,2.826,0.734,-2.317,0.37,-1.291
0.72,-1.658,0.914,2.443,-1.179,-2.415,-1.87,-0.937,0.813,0.812,-1.389,-0.381,-1.045
0.73,-1.396,2.365,-0.02,-1.338,-2.752,0.978,0.777,0.778,-0.435,-0.134,-0.13,2.529
0.74,0.053,1.93,3.11,-1.179,-5.082,-0.278,0.639,2.033,0.812,-0.32,0.021,-0.143
0.75,0.131,4.055,1.831,-0.702,-1.942,-0.693,0.854,0.327,-0.194,-0.189,-0.02,0.479
0.76,-3.488,2.674,2.324,-0.819,0.609,0.609,2.333,-0.291,0.23,-1.665,0.849,-0.984
0.77,0.61,1.463,1.969,-0.103,-1.525,-0.453,2.195,-1.475,0.092,0.019,1.025,1.521
0.78,-1.128,2.12,1.601,-1.059,-2.297,-3.879,2.646,0.197,0.371,-1.665,-1.156,-0.984
0.79,-0.04,0.985,3.188,-0.462,-0.813,-3.284,1.631,1.451,-0.462,1.113,-0.396,1.598
0.8,-0.631,0.738,1.924,-0.979,-0.618,0.979,0.092,1.834,-0.775,-1.201,-0.027,-0.694
0.81,-0.975,1.249,4.13,-1.22,0.031,0.03,3.42,-2.521,-1.642,-0.972,0.205,2.531
0.82,-1.831,1.932,2.773,-0.88,-2.297,-1.755,0.484,2.226,0.309,-0.034,0.474,0.641
0.83,-2.004,3.297,3.112,-0.998,1.499,0.609,0.346,3.656,-0.524,0.252,-0.588,-0.091
0.84,-2.5,1.949,1.432,-1.713,-2.413,3.793,0.563,-0.657,1.255,-2.645,0.382,0.551
0.85,0.159,4.089,2.721,0.094,-0.44,1.686,0.484,-1.781,0.484,0.014,-0.821,-1.315
0.86,-1.281,2.137,0.938,0.094,0.272,-1.145,0.267,-1.649,-1.294,0.615,0.448,0.449
0.87,0.813,0.294,2.667,-0.622,-0.083,-2.205,-0.488,3.698,0.562,0.482,0.649,1.145
0.88,0.633,1.83,3.525,-0.263,-1.862,-0.968,2.429,1.895,-0.367,1.737,0.231,0.4
0.89,-0.229,1.992,1.475,-0.979,-2.218,0.271,0.249,1.469,-0.965,1.905,-0.104,1.397
0.9,1.829,2.333,3.004,-1.22,0.031,-1.915,0.116,1.513,0.641,1.42,0.081,0.583
0.91,0.239,1.258,1.418,-0.881,-0.521,-3.348,2.447,1.389,1.035,0.295,0.129,0.297
0.92,-0.614,-0.781,1.6,-1.337,-2.219,-0.969,0.949,0.946,-0.1,-1.481,-0.472,-1.799
0.93,0.857,2.051,3.911,-0.98,-1.507,-2.206,3.498,-0.004,0.17,-0.982,-1.984,-1.314
0.94,-0.005,0.507,2.881,-0.104,-0.281,-0.454,2.175,1.294,0.421,0.076,0.08,1.08
0.95,-2.005,2.102,2.262,-0.82,0.253,1.845,0.326,-2.287,-0.714,-2.917,1.44,-0.229
0.96,-0.998,0.029,2.404,-1.417,0.191,1.075,3.031,-0.467,0.056,0.331,0.163,-0.668
0.97,-0.632,1.418,2.772,-0.98,0.093,-0.084,1.709,-0.91,0.829,2.182,-1.164,1.336
0.98,-2.062,2.725,2.201,-0.82,-0.459,-2.755,0.501,-0.546,-1.06,1.795,-1.049,1.953
0.99,-0.46,0.054,3.619,-0.522,-1.409,-0.163,1.732,2.773,0.337,-0.213,-1.716,-2.041
1,-3.926,3.09,2.4,-0.82,0.963,0.43,1.902,-0.022,0.499,-0.155,-0.821,0.012
1.01,1.066,2.937,1.738,-0.224,-1.464,-0.923,2.465,-1.729,0.532,0.388,-0.615,0.719
1.02,-0.058,2.673,3.172,-1.873,-2.396,1.155,1.558,0.159,-0.182,-2.373,0.48,-1.681
1.03,-1.49,1.761,1.243,-0.043,-1.997,1.024,0.345,2.435,-0.698,0.013,-0.821,-1.482
1.04,-0.708,-0.193,1.338,-0.623,-0.974,1.155,0.856,2.251,0.164,1.29,0.79,0.958
1.05,-0.614,0.924,0.412,-1.06,-2.121,0.545,1.516,0.814,-0.054,1.396,-0.948,-1.938
1.06,0.203,-0.141,1.216,0.253,0.253,-0.101,2.543,-1.65,0.611,-0.327,0.505,-0.665
